Type Mission;Mission;Code Mission;Programme;Libellé Programme;Action;Libellé Action;Sous Action;Libellé SousAction;Catégorie;Code Titre;AE  PLF;CP PLF;AE Prev FDC/ADP;CP Prev FDC/ADP;Ministère
BG;Agriculture, alimentation, forêt et affaires rurales;AC;215.0;Conduite et pilotage des politiques de l'agriculture;02;Évaluation de l'impact des politiques publiques et information économique;;;22.0;2;2725848.0;2725848.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Conseil et contrôle de l'État;CA;164.0;Cour des comptes et autres juridictions financières;24;Evaluation des politiques publiques;;;22.0;2;14608467.0;14608467.0;0.0;0.0;Services du Premier ministre
BG;Défense;DA;146.0;Équipement des forces;08;Projection - mobilité - soutien;53;Maintenir le potentiel ami et autre - Autres opérations;51.0;5;11205000.0;23747540.0;0.0;0.0;Armées et anciens combattants
BG;Défense;DA;146.0;Équipement des forces;11;Préparation et conduite des opérations d'armement;90;Investissements pour les opérations d'armement;31.0;3;128135400.0;122006077.0;0.0;0.0;Armées et anciens combattants
BG;Économie;DB;134.0;Développement des entreprises et régulations;23;Industrie et services;;;22.0;2;36741844.0;36741844.0;0.0;0.0;Économie, finances et industrie
BG;Défense;DA;146.0;Équipement des forces;07;Commandement et maîtrise de l'information;24;Commander et conduire - Système de commandement et de conduite des opérations aériennes (SCCOA);64.0;6;10194400.0;6075766.0;0.0;0.0;Armées et anciens combattants
BG;Sécurités;SB;176.0;Police nationale;01;Ordre public et protection de la souveraineté;01;Ordre public et protection de la souveraineté - Administration centrale et cabinets;21.0;2;48775792.0;48775792.0;0.0;0.0;Intérieur
BG;Écologie, développement et mobilité durables;TA;181.0;Prévention des risques;11;Gestion de l'après-mine et travaux de mise en sécurité, indemnisations et expropriations sur les sites;;;51.0;5;866034.0;866034.0;0.0;0.0;Transition écologique, énergie, climat et prévention des risques
BG;Recherche et enseignement supérieur;RA;172.0;Recherches scientifiques et technologiques pluridisciplinaires;02;Agence nationale de la recherche;;;64.0;6;1429700000.0;1046000000.0;0.0;0.0;Enseignement supérieur et recherche
BG;Conseil et contrôle de l'État;CA;165.0;Conseil d'État et autres juridictions administratives;02;Fonction juridictionnelle : Cours administratives d'appel;;;21.0;2;42541049.0;42541049.0;0.0;0.0;Services du Premier ministre
BG;Culture;CB;131.0;Création;02;Soutien à la création, à la production et à la diffusion des arts visuels;;;64.0;6;45516908.0;42482341.0;0.0;0.0;Culture
BG;Direction de l'action du Gouvernement;DC;129.0;Coordination du travail gouvernemental;16;Coordination de la politique numérique;;;23.0;2;244875.0;244875.0;0.0;0.0;Services du Premier ministre
BG;Direction de l'action du Gouvernement;DC;308.0;Protection des droits et libertés;06;Autres autorités indépendantes;02;Comité consultatif national d'éthique;23.0;2;11860.0;11860.0;0.0;0.0;Services du Premier ministre
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;01;Surveillance douanière des flux de personnes et de marchandises et lutte contre la grande fraude douanière.;;;22.0;2;214874731.0;214874731.0;0.0;0.0;Budget et comptes publics
BG;Justice;JA;101.0;Accès au droit et à la justice;01;Aide juridictionnelle;;;31.0;3;35000.0;35000.0;0.0;0.0;Justice
BG;Sport, jeunesse et vie associative;SF;163.0;Jeunesse et vie associative;06;Service National Universel;;;21.0;2;27324000.0;27324000.0;0.0;0.0;Sports, jeunesse et vie associative
BG;Agriculture, alimentation, forêt et affaires rurales;AC;206.0;Sécurité et qualité sanitaires de l'alimentation;01;Santé, qualité et protection des végétaux;;;32.0;3;1100000.0;1100000.0;0.0;0.0;Agriculture, souveraineté alimentaire et forêt
BG;Engagements financiers de l'État;EB;355.0;Charge de la dette de SNCF Réseau reprise par l'État (crédits évaluatifs);01;Charge de la dette de SNCF Réseau reprise par l'État;;;43.0;4;692000000.0;692000000.0;0.0;0.0;Économie, finances et industrie
BG;Gestion des finances publiques;GA;302.0;Facilitation et sécurisation des échanges;01;Surveillance douanière des flux de personnes et de marchandises et lutte contre la grande fraude douanière.;;;52.0;5;4301433.0;4793805.0;0.0;0.0;Budget et comptes publics
BG;Transformation et fonction publiques;TR;148.0;Fonction publique;01;Formation des fonctionnaires;;;22.0;2;14210.0;14210.0;0.0;0.0;Fonction publique, simplification et transformation de l'action publique
CAS;Pensions;YD;743.0;Pensions militaires d'invalidité et des victimes de guerre et autres pensions;02;Réparation;;;31.0;3;100000.0;100000.0;0.0;0.0;Budget et comptes publics
BG;Justice;JA;166.0;Justice judiciaire;06;Soutien;;;23.0;2;2551135.0;2551135.0;0.0;0.0;Justice
BG;Justice;JA;166.0;Justice judiciaire;06;Soutien;;;64.0;6;4354293.0;4354293.0;0.0;0.0;Justice
BG;Justice;JA;310.0;Conduite et pilotage de la politique de la justice;03;Évaluation, contrôle, études et recherche;;;64.0;6;898883.0;898883.0;0.0;0.0;Justice
BG;Écologie, développement et mobilité durables;TA;205.0;Affaires maritimes, pêche et aquaculture;02;Emplois et formations maritimes;;;52.0;5;690041.0;688259.0;0.0;0.0;Partenariat avec les collectivités territoriales et décentralisation
